readcode,readterm,cat
1461,H/O: dementia,Dementia
ZR2X.,BDRS - Blessed dementia rating scale,Dementia
9hD0.,Excepted from dementia quality indicators: Patient unsuitabl,Dementia
Eu001,"[X]Primary degen dementia of Alzheimer's type, senile onset",Dementia
ZS7C5,Language disorder of dementia,Dementia
Eu02.,[X]Dementia in other diseases classified elsewhere,Dementia
E00..,Senile dementia,Dementia
E003.,Senile dementia with delirium,Dementia
Eu00z,[X]Alzheimer's dementia unspec,Dementia
Eu011,[X]Predominantly cortical dementia,Dementia
Eu02z,[X] Primary degenerative dementia NOS,Dementia
9Ou1.,Dementia monitoring first letter,Dementia
F11y.,Other cerebral degeneration,Dementia
2900,SENILE DEMENTIA,Dementia
Eu107,[X]Alcoholic dementia NOS,Dementia
A411.,Jakob-Creutzfeldt disease,Dementia
3AE..,Global deterioration scale: assessment of prim deg dementia,Dementia
F1030,Cerebral degeneration in Hunter's disease,Dementia
Eu021,[X]Dementia in Creutzfeldt-Jakob disease,Dementia
E0011,Presenile dementia with delirium,Dementia
Fyu30,[X]Other Alzheimer's disease,Dementia
E0020,Senile dementia with paranoia,Dementia
F11x0,Cerebral degeneration due to alcoholism,Dementia
Eu000,"[X]Primary degen dementia, Alzheimer's type, presenile onset",Dementia
Eu02z,[X] Unspecified dementia,Dementia
299 G,DEMENTIA AGGRESSIVE,Dementia
E0021,Senile dementia with depression,Dementia
F11..,Other cerebral degenerations,Dementia
13Y7.,Alzheimer's disease society member,Dementia
Eu012,[X]Subcortical vascular dementia,Dementia
E0043,Arteriosclerotic dementia with depression,Dementia
Eu013,[X]Mixed cortical and subcortical vascular dementia,Dementia
Eu000,[X]Alzheimer's disease type 2,Dementia
Eu002,"[X]Dementia in Alzheimer's dis, atypical or mixed type",Dementia
Eu000,"[X]Presenile dementia,Alzheimer's type",Dementia
F11x5,Cerebral degeneration due to myxoedema,Dementia
E004z,Arteriosclerotic dementia NOS,Dementia
E0042,Arteriosclerotic dementia with paranoia,Dementia
Eu01y,[X]Other vascular dementia,Dementia
Eu023,[X]Dementia in Parkinson's disease,Dementia
8HME.,Listed for Diabetology admissn,Diabetes
66Ak.,Diabetic monitoring - lower risk albumin excretion,Diabetes
9m05.,Excluded from diabetic retinopathy screening as moved away,Diabetes
C10FP,Type 2 diabetes mellitus with ketoacidotic coma,Diabetes
2BBK.,O/E - no left diabetic retinopathy,Diabetes
2BBJ.,O/E - no right diabetic retinopathy,Diabetes
66AJ1,Brittle diabetes,Diabetes
C102.,Diabetes mellitus with hyperosmolar coma,Diabetes
2G5e.,O/E - Right diabetic foot at increased risk,Diabetes
9OLA.,Diabetes monitor. check done,Diabetes
C10FS,Maternally inherited diabetes mellitus,Diabetes
8IEQ.,Referral to community diabetes specialist nurse declined,Diabetes
250 H,COMA DIABETIC,Diabetes
C10F.,Type 2 diabetes mellitus,Diabetes
68A7.,Diabetic retinopathy screening,Diabetes
679L2,Education about diabetes and driving,Diabetes
66A3.,Diabetic on diet only,Diabetes
M0372,Cellulitis in diabetic foot,Diabetes
9OL5.,Diabetes monitoring 2nd letter,Diabetes
9m0E.,Excluded from diabetic retinopathy screen physical disorder,Diabetes
C101.,Diabetes mellitus with ketoacidosis,Diabetes
66AI.,Diabetic - good control,Diabetes
9OL1.,Attends diabetes monitoring,Diabetes
2G5K.,O/E - Left diabetic foot at high risk,Diabetes
9OLG.,Attended XPERT diabetes structured education programme,Diabetes
2G5F.,O/E - Right diabetic foot at moderate risk,Diabetes
250 H,HYPOGLYCAEMIC COMA DIABETIC,Diabetes
2G5J.,O/E - Left diabetic foot at moderate risk,Diabetes
8OA3.,Provision of written information about diabetes and driving,Diabetes
9N1v.,Seen in diabetic eye clinic,Diabetes
C10N0,Secondary diabetes mellitus without complication,Diabetes
8Hlc.,Referral to community diabetes service,Diabetes
ZRbH.,Perceived control of insulin-dependent diabetes,Diabetes
C10E9,Insulin dependent diabetes maturity onset,Diabetes
C1001,Non-insulin dependent diabetes mellitus,Diabetes
66AP.,Diabetes: practice programme,Diabetes
66Ai.,Diabetic 6 month review,Diabetes
C10D.,Diabetes mellitus autosomal dominant type 2,Diabetes
C10FK,Hyperosmolar non-ketotic state in type 2 diabetes mellitus,Diabetes
66AY.,Diabetic diet - good compliance,Diabetes
9M00.,Informed consent for diabetes national audit,Diabetes
C10EA,Type I diabetes mellitus without complication,Diabetes
C10EA,Insulin-dependent diabetes without complication,Diabetes
C108E,Type 1 diabetes mellitus with hypoglycaemic coma,Diabetes
3882,Diabetes well being questionnaire,Diabetes
C1020,"Diabetes mellitus, juvenile type, with hyperosmolar coma",Diabetes
250 A,ABSCESS DIABETIC,Diabetes
8CE0.,Diabetic leaflet given,Diabetes
1434,H/O: diabetes mellitus,Diabetes
250 J,KETOACIDOSIS DIABETIC,Diabetes
9NiD.,Did not attend DESMOND diabetes structured education program,Diabetes
9Oy03,Diabetic foot screening invitation second letter,Diabetes
C1097,Type 2 diabetes mellitus - poor control,Diabetes
66At0,Type I diabetic dietary review,Diabetes
66Aa.,Diabetic diet - poor compliance,Diabetes
C11y0,Steroid induced diabetes,Diabetes
66An.,Diabetes type 1 review,Diabetes
L1807,Pre-existing malnutrition-related diabetes mellitus,Diabetes
C10C.,Diabetes mellitus autosomal dominant,Diabetes
8I6G.,Diabetic foot examination not indicated,Diabetes
66A..,Diabetic monitoring,Diabetes
C1099,Type II diabetes mellitus without complication,Diabetes
U6023,[X] Adverse reaction to insulins and antidiabetic agents,Diabetes
TJ23.,Adverse reaction to insulins and antidiabetic agents,Diabetes
66Ao.,Diabetes type 2 review,Diabetes
C1099,Type 2 diabetes mellitus without complication,Diabetes
9Oy00,Diabetic foot screening invitation,Diabetes
66AG.,Diabetic drug side effects,Diabetes
8CR2.,Diabetes clinical management plan,Diabetes
9OLH.,Attended DAFNE diabetes structured education programme,Diabetes
9N0o.,Seen in community diabetic specialist nurse clinic,Diabetes
ZRB6.,Diabetes wellbeing questionnaire,Diabetes
66AH2,Conversion to insulin by diabetes specialist nurse,Diabetes
L1800,Diabetes mellitus - unspec whether in pregnancy/puerperium,Diabetes
679L0,Education in self management of diabetes,Diabetes
8HTE1,Referral to community diabetes clinic,Diabetes
C1001,"Diabetes mellitus, adult onset, no mention of complication",Diabetes
9N0m.,Seen in diabetic nurse consultant clinic,Diabetes
C10C.,Maturity onset diabetes in youth,Diabetes
9OL..,Diabetes clinic administration,Diabetes
8HgC.,Discharged from diabetes shared care programme,Diabetes
250 P,PRURITUS DIABETIC,Diabetes
C10A0,Malnutrition-related diabetes mellitus with coma,Diabetes
C10ER,Latent autoimmune diabetes mellitus in adult,Diabetes
C1099,Non-insulin-dependent diabetes mellitus without complication,Diabetes
8HVU.,Private referral to diabetologist,Diabetes
C1011,"Diabetes mellitus, adult onset, with ketoacidosis",Diabetes
66AQ1,Declined consent for diabetes year of care programme,Diabetes
8I83.,Did not complete DESMOND diabetes structured educat program,Diabetes
C108E,Type I diabetes mellitus with hypoglycaemic coma,Diabetes
6761,Diabetic pre-pregnancy counselling,Diabetes
C3500,Bronzed diabetes,Diabetes
ZL225,Under care of diabetic liaison nurse,Diabetes
66AD.,Fundoscopy - diabetic check,Diabetes
C100.,Diabetes mellitus with no mention of complication,Diabetes
250 G,GANGRENE DIABETIC,Diabetes
Cyu20,[X]Other specified diabetes mellitus,Diabetes
C1001,Maturity onset diabetes,Diabetes
C1031,"Diabetes mellitus, adult onset, with ketoacidotic coma",Diabetes
9NN9.,Under care of diabetes specialist nurse,Diabetes
C10F7,Type II diabetes mellitus - poor control,Diabetes
66AT.,Annual diabetic blood test,Diabetes
ZRB5.,DTSQ - Diabetes treatment satisfaction questionnaire,Diabetes
C10A.,Malnutrition-related diabetes mellitus,Diabetes
66Au.,Diabetic erectile dysfunction review,Diabetes
9m0C.,Excluded frm diabetic retinopathy screen as terminal illness,Diabetes
ZRB4.,CSQ - Diabetes clinic satisfaction questionnaire,Diabetes
2G5E.,O/E - Right diabetic foot at low risk,Diabetes
8I57.,Patient held diabetic record declined,Diabetes
9h42.,Excepted from diabetes quality indicators: Informed dissent,Diabetes
C10FD,Type 2 diabetes mellitus with hypoglycaemic coma,Diabetes
250 D,DIABETIC DIARRHOEA,Diabetes
C10FN,Type 2 diabetes mellitus with ketoacidosis,Diabetes
13AC.,Diabetic weight reducing diet,Diabetes
66AJz,Diabetic - poor control NOS,Diabetes
C10FJ,Insulin treated Type 2 diabetes mellitus,Diabetes
8I3X.,Diabetic retinopathy screening refused,Diabetes
66AS0,Diabetes Year of Care annual review,Diabetes
8H7C.,"Refer, diabetic liaison nurse",Diabetes
9m03.,Eligibility permanently inactive for diabetic retinop screen,Diabetes
8Hl1.,Referral for diabetic retinopathy screening,Diabetes
C10A1,Malnutrition-related diabetes mellitus with ketoacidosis,Diabetes
8BL2.,Patient on maximal tolerated therapy for diabetes,Diabetes
8B3l.,Diabetes medication review,Diabetes
ZL626,Referral to diabetic liaison nurse,Diabetes
8Hl4.,Referral to community diabetes specialist nurse,Diabetes
9b920,Diabetic medicine,Diabetes
8Hj3.,Referral to DAFNE diabetes structured education programme,Diabetes
66AZ.,Diabetic monitoring NOS,Diabetes
C10B.,Diabetes mellitus induced by steroids,Diabetes
C1089,Type I diabetes mellitus maturity onset,Diabetes
9OL3.,Diabetes monitoring default,Diabetes
C10E8,Insulin dependent diabetes mellitus - poor control,Diabetes
13L4.,Diabetic child,Diabetes
C10EN,Type I diabetes mellitus with ketoacidotic coma,Diabetes
8CA41,Pt advised re diabetic diet,Diabetes
C10E4,Unstable insulin dependent diabetes mellitus,Diabetes
66AU.,Diabetes care by hospital only,Diabetes
9OL4.,Diabetes monitoring 1st letter,Diabetes
TJ23z,Adverse reaction to insulins and antidiabetic agents NOS,Diabetes
9OLA.,Diabetes monitored,Diabetes
66A9.,Understands diet - diabetes,Diabetes
C1097,Non-insulin dependent diabetes mellitus - poor control,Diabetes
9N1i.,Seen in diabetic foot clinic,Diabetes
250 H,PRECOMA DIABETIC,Diabetes
8I94.,Diabetes structured education programme not available,Diabetes
8I84.,Did not complete XPERT diabetes structured education program,Diabetes
1IA..,No evidence of diabetic nephropathy,Diabetes
C1000,Insulin dependent diabetes mellitus,Diabetes
C1021,"Diabetes mellitus, adult onset, with hyperosmolar coma",Diabetes
C1010,"Diabetes mellitus, juvenile type, with ketoacidosis",Diabetes
661N4,Diabetes self-management plan review,Diabetes
8Hj0.,Referral to diabetes structured education programme,Diabetes
ZC2C9,Dietary advice for type I diabetes,Diabetes
8CS0.,Diabetes care plan agreed,Diabetes
8IE2.,Diabetes care plan declined,Diabetes
250 C,DIABETIC CATARACT,Diabetes
ZLA25,Seen by diabetic liaison nurse,Diabetes
2G5A.,O/E - Right diabetic foot at risk,Diabetes
C10B0,Steroid induced diabetes mellitus without complication,Diabetes
Q441.,Neonatal diabetes mellitus,Diabetes
C10EA,Type 1 diabetes mellitus without complication,Diabetes
9NN8.,Under care of diabetologist,Diabetes
2G5I.,O/E - Left diabetic foot at low risk,Diabetes
C10E9,Type I diabetes mellitus maturity onset,Diabetes
66Al.,Diabetic monitoring - higher risk albumin excretion,Diabetes
C1084,Unstable type 1 diabetes mellitus,Diabetes
66AJ.,Unstable diabetes,Diabetes
8Hg4.,Discharged from care of diabetes specialist nurse,Diabetes
C100z,Diabetes mellitus NOS with no mention of complication,Diabetes
250 J,DIABETIC ACIDOSIS,Diabetes
C102z,Diabetes mellitus NOS with hyperosmolar coma,Diabetes
L1805,"Pre-existing diabetes mellitus, insulin-dependent",Diabetes
9N1Q.,Seen in diabetic clinic,Diabetes
66At1,Type II diabetic dietary review,Diabetes
9m00.,Eligible for diabetic retinopathy screening,Diabetes
66Ac.,Diabetic peripheral neuropathy screening,Diabetes
2500A,LATENT DIABETES,Diabetes
66At.,Diabetic dietary review,Diabetes
9N2i.,Seen by diabetic liaison nurse,Diabetes
C109.,NIDDM - Non-insulin dependent diabetes mellitus,Diabetes
C10E8,Type 1 diabetes mellitus - poor control,Diabetes
C10F7,Type 2 diabetes mellitus - poor control,Diabetes
9NiC.,Did not attend DAFNE diabetes structured education programme,Diabetes
9m08.,Excluded from diabetic retinopathy screening as blind,Diabetes
C108E,Insulin dependent diabetes mellitus with hypoglycaemic coma,Diabetes
C10E4,Unstable type 1 diabetes mellitus,Diabetes
9OLB.,Attended diabetes structured education programme,Diabetes
679R.,Patient offered diabetes structured education programme,Diabetes
2BBM.,O/E - diabetic maculopathy absent both eyes,Diabetes
66A4.,Diabetic on oral treatment,Diabetes
C10FK,Hyperosmolar non-ketotic state in type II diabetes mellitus,Diabetes
44V3.,Glucose tol. test diabetic,Diabetes
C10P0,Type 1 diabetes mellitus in remission,Diabetes
C109.,Type II diabetes mellitus,Diabetes
3881,Education score - diabetes,Diabetes
C109D,Non-insulin dependent diabetes mellitus with hypoglyca coma,Diabetes
8HHy.,Referral to diabetic register,Diabetes
9OLF.,Diabetes structured education programme completed,Diabetes
66At1,Type 2 diabetic dietary review,Diabetes
9OLJ.,DAFNE diabetes structured education programme completed,Diabetes
66AN.,Date diabetic treatment start,Diabetes
9m07.,Excluded diabetc retinop screen as under care ophthalmolgist,Diabetes
C10FP,Type II diabetes mellitus with ketoacidotic coma,Diabetes
C10P.,Diabetes mellitus in remission,Diabetes
C108.,Insulin dependent diabetes mellitus,Diabetes
8I81.,Did not complete diabetes structured education programme,Diabetes
9N0n.,Seen in community diabetes specialist clinic,Diabetes
8IEa.,Referral to DAFNE diabetes structured educn prog declined,Diabetes
C101z,Diabetes mellitus NOS with ketoacidosis,Diabetes
C1097,Type II diabetes mellitus - poor control,Diabetes
C109.,Non-insulin dependent diabetes mellitus,Diabetes
66A8.,Has seen dietician - diabetes,Diabetes
9OL7.,Diabetes monitor.verbal invite,Diabetes
66AQ.,Diabetes: shared care programme,Diabetes
C108A,Type I diabetes mellitus without complication,Diabetes
9OLD.,Diabetic patient unsuitable for digital retinal photography,Diabetes
9NiA.,Did not attend diabetes structured education programme,Diabetes
9NM0.,Attending diabetes clinic,Diabetes
9Oy02,Diabetic foot screening invitation first letter,Diabetes
C10EN,Type 1 diabetes mellitus with ketoacidotic coma,Diabetes
C10G0,Secondary pancreatic diabetes mellitus without complication,Diabetes
8H3O.,Non-urgent diabetic admission,Diabetes
ZRB6.,DWBQ - Diabetes wellbeing questionnaire,Diabetes
9m04.,Excluded from diabetic retinopathy screening,Diabetes
8HLE.,Diabetology D.V. done,Diabetes
C10C.,Maturity onset diabetes in youth type 1,Diabetes
9N2d.,Seen by diabetologist,Diabetes
C109J,Insulin treated non-insulin dependent diabetes mellitus,Diabetes
13Y1.,Diabetic association member,Diabetes
ZRB5.,Diabetes treatment satisfaction questionnaire,Diabetes
C1084,Unstable insulin dependent diabetes mellitus,Diabetes
250 E,HYPOGLYCAEMIA IN DIABETES MELLITUS,Diabetes
C103.,Diabetes mellitus with ketoacidotic coma,Diabetes
9m0D.,Excluded from diabetic retinopthy screen as learn disability,Diabetes
8HTe.,Referral to diabetes preconception counselling clinic,Diabetes
8HKE.,Diabetology D.V. requested,Diabetes
9OLM.,Diabetes structured education programme declined,Diabetes
66AL.,Diabetic-uncooperative patient,Diabetes
C10E.,Insulin dependent diabetes mellitus,Diabetes
C101y,Other specified diabetes mellitus with ketoacidosis,Diabetes
66A2.,Follow-up diabetic assessment,Diabetes
8H2J.,Admit diabetic emergency,Diabetes
9OLN.,Diabetes monitor invitation by SMS (short message service),Diabetes
42WZ.,Hb. A1C - diabetic control NOS,Diabetes
9N1o.,Seen in multidisciplinary diabetic clinic,Diabetes
C103z,Diabetes mellitus NOS with ketoacidotic coma,Diabetes
